stu_id,stu_name,email,k1_energy,k3_tick1,k3_tick2,my_pref,concerns
20004488,"SAFFRON, Corgipoo",CorgipooSAF@connect.ust.hk,26,0,0,,
20023331,"HYSSOP, Chamois",ChamoisHYS@connect.ust.hk,27,0,0,,
20043679,"LEEKS, Beetle",BeetleLEE@connect.ust.hk,71,0,0,,
20067232,"CHRYSANTHEMUM, Abelisaurus",AbelisaurusCHR@connect.ust.hk,57,0,0,,
20076931,"CELERIAC, Aniu",AniuCEL@connect.ust.hk,54,0,0,,
20089887,"ANGELICA, Daisy",DaisyANG@connect.ust.hk,44,1,1,,
20097861,"CHICORY, Iguanodon",IguanodonCHI@connect.ust.hk,58,0,0,,
20109368,"SPEARMINT, Kenerdy",KenerdySPE@connect.ust.hk,44,0,0,,
20121416,"LAVENDER, Venus",VenusLAV@connect.ust.hk,55,0,0,,
20133348,"VANILLA, Aphids",AphidsVAN@connect.ust.hk,47,1,0,,
20136565,"CUMINPOWD, Addax",AddaxCUM@connect.ust.hk,47,1,1,,
20152854,"PARSLEY, Athena",AthenaPAR@connect.ust.hk,59,0,0,,
20153166,"ORCHID, Uranus",UranusORC@connect.ust.hk,89,0,0,,
20155801,"ROSEMARY, Hephaestus",HephaestusROS@connect.ust.hk,35,0,0,,
20167346,"OREGANO, George",GeorgeORE@connect.ust.hk,83,0,0,,
20169289,"MARJORAM, Coral",CoralMAR@connect.ust.hk,62,0,0,,
20177418,"HOREBOUND, Birman",BirmanHOR@connect.ust.hk,80,0,0,,
20182694,"ANAHEIM, Alligator",AlligatorANA@connect.ust.hk,31,1,0,,
20199698,"ORCHID, Neptune",NeptuneORC@connect.ust.hk,53,0,0,,
20217287,"SPEARMINT, Iris",IrisSPE@connect.ust.hk,35,0,0,,
20236589,"COSTMARY, Philip",PhilipCOS@connect.ust.hk,63,0,0,,
20255132,"OREGANO, Chartreux",ChartreuxORE@connect.ust.hk,35,0,0,,
20268506,"CUMINPOWD, Pollock",PollockCUM@connect.ust.hk,59,0,0,,
20273544,"PATTIPAN, Veronica",VeronicaPAT@connect.ust.hk,45,1,0,,
20283263,"ANGELICA, Cat",CatANG@connect.ust.hk,60,0,0,,
20298901,"TARRAGON, Crocodia",CrocodiaTAR@connect.ust.hk,33,0,0,,
20310441,"CITRUS, Eolambia",EolambiaCIT@connect.ust.hk,45,1,0,,
20310748,"VANILLA, Fringle",FringleVAN@connect.ust.hk,61,0,0,,
20312155,"GLADIOLUS, Acrocantho",AcrocanthoGLA@connect.ust.hk,79,0,0,,
20318297,"JASMINE, Theresa",TheresaJAS@connect.ust.hk,60,0,0,,
20319288,"CILANTRO, Ares",AresCIL@connect.ust.hk,61,0,0,,
20349600,"LAVENDER, Mercury",MercuryLAV@connect.ust.hk,48,0,0,,
20399150,"POPPY, Malasaura",MalasauraPOP@connect.ust.hk,61,0,0,,
20399688,"OREGANO, Demeter",DemeterORE@connect.ust.hk,37,0,0,,
20400353,"MUSTARDOR, Danoodle",DanoodleMUS@connect.ust.hk,46,1,0,,
20419591,"THYME, Hermesus",HermesusTHY@connect.ust.hk,67,0,0,,
20430575,"CARNATION, Pluto",PlutoCAR@connect.ust.hk,43,0,0,,
20440345,"MARJORAM, Ferret",FerretMAR@connect.ust.hk,72,0,0,,
20442059,"CINNAMON, Edward",EdwardCIN@connect.ust.hk,22,0,0,,
20454688,"ASPARAGUS, Rugops",RugopsASP@connect.ust.hk,67,0,0,,
20460302,"FENUGREEK, Chinook",ChinookFEN@connect.ust.hk,59,0,0,,
20464197,"COSTMARY, Pheoby",PheobyCOS@connect.ust.hk,91,0,0,,
20468854,"LEEKS, Akita",AkitaLEE@connect.ust.hk,61,0,0,,
20469457,"BASIL, Poseidon",PoseidonBAS@connect.ust.hk,45,0,0,,
20516624,"CELERIAC, Aesculapian",AesculapianCEL@connect.ust.hk,40,0,1,,
20531390,"ARTICHOKE, Shamosaurus",ShamosaurusART@connect.ust.hk,42,1,0,,
20540000,"CITRUS, Eoraptor",EoraptorCIT@connect.ust.hk,55,0,0,,
20555038,"CINNAMON, Bilby",BilbyCIN@connect.ust.hk,25,0,1,,
20556367,"ANAHEIM, James",JamesANA@connect.ust.hk,89,0,0,,
20557157,"DAFFODIL, Achillobator",AchillobatorDAF@connect.ust.hk,100,0,0,,
20557403,"TARRAGON, Shrimpid",ShrimpidTAR@connect.ust.hk,71,0,0,,
20558464,"BAYLEAF, Civet",CivetBAY@connect.ust.hk,25,0,0,,
20559978,"KOHLRABI, John",JohnKOH@connect.ust.hk,40,1,0,,
20562809,"HYACINTH, Jupiter",JupiterHYA@connect.ust.hk,10,0,0,,
20563934,"ALLSPICE, Beta",BetaALL@connect.ust.hk,18,0,0,,
20566809,"CHARD, Alabai",AlabaiCHA@connect.ust.hk,80,0,0,,
20568992,"OREGANO, Hera",HeraORE@connect.ust.hk,40,0,0,,
20570476,"FENUGREEK, Caracal",CaracalFEN@connect.ust.hk,68,0,0,,
20573007,"WASSABI, Linux",LinuxWAS@connect.ust.hk,61,0,0,,
20573574,"POPPY, Ankylosaurus",AnkylosaurusPOP@connect.ust.hk,20,0,0,,
20593320,"GLADIOLUS, Aegyptosaurus",AegyptosaurusGLA@connect.ust.hk,65,0,0,,
20598472,"SAFFRON, Dragonfly",DragonflySAF@connect.ust.hk,25,0,0,,
20600706,"BUTTERNUT, Becky",BeckyBUT@connect.ust.hk,45,1,0,,
20603796,"TULIP, Cristina",CristinaTUL@connect.ust.hk,95,0,0,,
20606077,"ASPARAGUS, Saichania",SaichaniaASP@connect.ust.hk,64,0,0,,
20619318,"HYSSOP, Bison",BisonHYS@connect.ust.hk,65,0,0,,
20627519,"SORREL, Dunnock",DunnockSOR@connect.ust.hk,56,0,0,,
20639035,"DAFFODIL, Achelosaurus",AchelosaurusDAF@connect.ust.hk,43,0,0,,
20639804,"SORREL, Hamster",HamsterSOR@connect.ust.hk,75,0,0,,
20665944,"PATTIPAN, Macaronie",MacaroniePAT@connect.ust.hk,53,1,0,,
20669337,"BASIL, Zeus",ZeusBAS@connect.ust.hk,67,0,0,,
20698330,"BURNEST, Susan",SusanBUR@connect.ust.hk,36,0,0,,
20704192,"BUTTERNUT, Burnold",BurnoldBUT@connect.ust.hk,61,0,0,,
20734171,"WASSABI, Python",PythonWAS@connect.ust.hk,79,0,0,,
20735374,"CHARD, Alusky",AluskyCHA@connect.ust.hk,69,0,0,,
20736370,"HYACINTH, Uranus",UranusHYA@connect.ust.hk,80,0,0,,
20746350,"SUNFLOWER, Giganotosaurus",GiganotosaurusSUN@connect.ust.hk,77,0,0,,
20748815,"THYME, Dionysus",DionysusTHY@connect.ust.hk,37,0,0,,
20751616,"ANEMONE, Agilisaurus",AgilisaurusANE@connect.ust.hk,61,0,0,,
20752084,"ANEMONE, Afrovenator",AfrovenatorANE@connect.ust.hk,69,0,0,,
20788232,"ALLSPICE, Sturgeon",SturgeonALL@connect.ust.hk,24,0,0,,
20792080,"ROSEMARY, Artemis",ArtemisROS@connect.ust.hk,61,0,0,,
20800756,"CHICORY, Tanius",TaniusCHI@connect.ust.hk,61,0,0,,
20811287,"TULIP, Saturn",SaturnTUL@connect.ust.hk,18,0,0,,
20815141,"BURNEST, Dennis",DennisBUR@connect.ust.hk,85,0,0,,
20822475,"BAYLEAF, Jacana",JacanaBAY@connect.ust.hk,29,1,0,,
20862795,"CHRYSANTHEMUM, Achillobator",AchillobatorCHR@connect.ust.hk,14,0,0,,
20879263,"JASMINE, Emily",EmilyJAS@connect.ust.hk,45,0,0,,
20889849,"PARSLEY, Apollo",ApolloPAR@connect.ust.hk,46,0,0,,
20890771,"SUNFLOWER, Gatonia",GatoniaSUN@connect.ust.hk,60,0,0,,
20911884,"PERUVIAN, Aardonyx",AardonyxPER@connect.ust.hk,69,0,0,,
20912449,"HOREBOUND, Philis",PhilisHOR@connect.ust.hk,75,0,0,,
20917274,"KOHLRABI, Anna",AnnaKOH@connect.ust.hk,72,0,0,,
20927052,"ARTICHOKE, Saichania",SaichaniaART@connect.ust.hk,63,0,0,,
20927610,"JICAMA, Gallimimus",GallimimusJIC@connect.ust.hk,77,0,0,,
20939985,"CILANTRO, Aphrodite",AphroditeCIL@connect.ust.hk,68,0,0,,
20959260,"CARNATION, Alexander",AlexanderCAR@connect.ust.hk,92,0,0,,
20972736,"PERUVIAN, Florestina",FlorestinaPER@connect.ust.hk,33,0,1,,
20987847,"JICAMA, Rinchenia",RincheniaJIC@connect.ust.hk,85,0,0,,
20990166,"MUSTARDOR, Zera",ZeraMUS@connect.ust.hk,47,0,0,,
